1,单元一 爱的表达
2,听说板块
3,针对他人的行为发表看法
4,阅读板块
5,通过人物描写理解人物特点
6,写作板块
7,在记叙时加入人物描写
8,词语
9,掌握中二单元一的词语
10,作业
11,听出具体的信息
12,单元二 关爱动物
13,听说板块
14,抓住所描述的动物的特点
15,描述动物的特点
16,阅读板块
17,通过对动物的描写，把握动物的形象特点
18,写作板块
19,在记叙事件时加入对动物的描写
20,词语
21,掌握中二单元二的词语
22,作业
23,抓住所描述的动物的特点
24,单元三 绿色生活
25,听说板块
26,结合图表说出内容重点
27,阅读板块
28,结合图表掌握说明的重点
29,写作板块
30,结合图表写出内容重点
31,词语
32,掌握中二单元三的词语
33,作业
34,听出新闻报道的主要内容
35,单元四 成长的足迹
36,听说板块
37,叙述一件事，并表达感受
38,阅读板块
39,找出文章的抒情句，结合内容理解文章的主题
40,写作板块
41,简单记叙一件事，并表达感受
42,词语
43,掌握中二单元四的词语
44,作业
45,单元五 心系家园
46,听说板块
47,描述景物的特点
48,阅读板块
49,通过景物描写理解景物特点
50,写作板块
51,在记叙时加入景物描写
52,词语
53,掌握中二单元五的词语
54,作业
55,听出景物的特点
56,单元六 与世界相连
57,听说板块
58,"通过“觉得”“认为”听出说话者的观点
针对他人的观点提出看法"
59,阅读板块
60,结合文章的内容，理解作者的观点
61,写作板块
62,针对话题，写出个人的看法
63,词语
64,掌握中二单元六的词语
65,作业
66,通过“觉得”“认为”听出说话者的观点
67,二上作业总复习
68,抓住所描述动物的特点
69,听出具体的信息
70,听出新闻报道的主要内容
71,二下作业总复习
72,听出景物的特点
73,通过“觉得”“认为”听出说话者的观点
74,听出具体的信息
75,新闻时事
76,理解新闻时事语料
77,就新闻话题与人交流
78,广泛阅读
79,能感受阅读的乐趣、并愿意与人分享
80,能主动、专注、有计划地阅读
81,养成边读边思考的习惯
